Date,Close
22/12/16,921.98
23/12/16,898.82
24/12/16,896.18
25/12/16,907.61
26/12/16,933.2
27/12/16,975.92
28/12/16,973.5
29/12/16,961.24
30/12/16,963.74
31/12/16,998.33
1/1/17,1021.75
2/1/17,1043.84
3/1/17,1154.73
4/1/17,1013.38
5/1/17,902.2
6/1/17,908.59
7/1/17,911.2
8/1/17,902.83
9/1/17,907.68
10/1/17,777.76
11/1/17,804.83
12/1/17,823.98
13/1/17,818.41
14/1/17,821.8
15/1/17,831.53
16/1/17,907.94
17/1/17,886.62
18/1/17,899.07
19/1/17,895.03
20/1/17,921.79
21/1/17,924.67
22/1/17,921.01
23/1/17,892.69
24/1/17,901.54
25/1/17,917.59
26/1/17,919.75
27/1/17,921.59
28/1/17,919.5
29/1/17,920.38
30/1/17,970.4
31/1/17,989.02
1/2/17,1011.8
2/2/17,1029.91
3/2/17,1042.9
4/2/17,1027.34
5/2/17,1038.15
